School,Club,Kid,kidEmail
Rubin Elementary,Rubin Soccer ,Joseph Walter,jwalter@gmail.com
Rubin Elementary,Rubin Soccer ,John Ken,jken@gmail.com
Rubin Elementary,Rubin Soccer ,Jeevan Bal,jbal@gmail.com
Rubin Elementary,Rubin Soccer ,Arun Bal,abal@gmail.com
Rubin Elementary,Rubin Baseball ,John Ken,jken@gmail.com
Rubin Elementary,Rubin Baseball ,Shameer Roy,sroy@gmail.com
Rubin Elementary,Rubin Baseball ,Joseph Walter,jwalter@gmail.com
Rubin Elementary,Rubin SoftBall ,Chico Johny,cjohny@gmail.com
Rubin Elementary,Rubin SoftBall ,Joseph Walter,jwalter@gmail.com
Rubin Elementary,Rubin Tennis ,Chico Johny,cjohny@gmail.com
Rubin Elementary,Rubin Tennis ,Drew Bart,dbart@gmail.com
Chelsey High,Chelsey Football,Ram Rahim,rrahim@gmail.com
Chelsey High,Chelsey Football,Joe Shaw,jshaw@gmail.com
Chelsey High,Chelsey Football,Ram Rahim,rrahim@gmail.com
Chelsey High,Chelsey Hockey,Vamsee Krishna,vkrishna@gmail.com
Chelsey High,Chelsey Hockey,Cho Wu,cwu@gmail.com
Berkeley Middle,Berkeley Squash,Charley Baker,cbaker@gmail.com
Berkeley Middle,Berkeley Swimming,Vaishnavi,vaish@gmail.com
Berkeley Middle,Berkeley Swimming,Ram Patel,rpatel@gmail.com
Berkeley Middle,Berkeley Polo,Mike Joe,mjoe@gmail.com
Stanford School,Stanford Tennis,Kim Jong,kjon@gmail.com
Stanford School,Stanford Poker,Robert Chase,rchase@gmail.com
